views,comments,freq,month-year,moving-avg-views,piecewise-views,moving-avg-comments,piecewise-comments,moving-avg-freq,piecewise-freq
0,0,0,2013-06-01,16725.5,16137.001021146905,14.0,13.697425997526727,1.75,1.8332696970426845
10866,26,4,2013-07-01,18692.0,20917.648532081665,18.75,13.850815019940026,2.5,1.975224783740531
23000,25,4,2013-08-01,22216.5,18941.614984151835,20.0,14.004204042353326,2.5,2.1171798704383757
5952,9,3,2013-09-01,9954.5,14907.761445769313,15.0,14.157593064766626,2.75,2.2591349571362223
4000,12,2,2013-10-01,10954.5,10873.907907386809,18.0,14.310982087179926,3.25,2.4010900438340688
798,1,1,2013-11-01,8437.5,6840.054369004298,11.75,14.464371109593227,2.5,2.5430451305319153
1000,3,1,2013-12-01,2937.5,3498.8063900237466,6.25,14.617760156596022,1.75,2.685000217229762
19000,44,6,2014-01-01,6199.5,8124.72701659202,15.0,17.3331313614218,2.5,2.8269553039276083
46000,45,7,2014-02-01,16699.5,12750.647643160315,23.25,20.04850256624757,3.75,3.4253516629196383
4000,12,2,2014-03-01,17500.0,17376.568269728574,26.0,22.76387377107335,4.0,4.475374124817014
12666,20,7,2014-04-01,20416.5,22002.488896296847,30.25,25.479244975899125,5.5,5.52539658671439
24776,55,11,2014-05-01,21860.5,21860.131196163522,33.0,28.1946161807249,6.75,6.575419048611767
12549,28,5,2014-06-01,13497.75,13931.919061682638,28.75,30.909987385550675,6.25,6.6145682917238275
13000,19,5,2014-07-01,15747.75,14437.428212522362,30.5,33.62535859037645,7.0,6.534058719109403
13628,43,7,2014-08-01,15988.25,14942.937363362056,36.25,36.34072979520222,7.0,6.453549146494975
16000,62,2,2014-09-01,13794.25,15448.446514201729,38.0,39.056101000028,4.75,6.373039573880547
14655,35,8,2014-10-01,14320.75,15953.955665041416,39.75,41.77147220485377,5.5,6.292530001266119
11926,41,6,2014-11-01,14052.25,16459.464815881176,45.25,44.48684340967955,5.75,6.212020428651691
31822,191,10,2014-12-01,18600.75,16964.97396672076,82.25,70.43494742045932,6.5,6.131510856037263
17000,39,4,2015-01-01,18850.75,17470.48311756052,76.5,70.36488140338264,7.0,6.051001283422831
12883,43,7,2015-02-01,18407.75,17975.992268400078,78.5,70.29481538630598,6.75,5.970491710808407
5000,34,3,2015-03-01,16676.25,18481.501419239838,76.75,70.2247493692293,6.0,5.889982138193979
24396,56,7,2015-04-01,14819.75,18987.010570079612,43.0,70.15468335215263,5.25,5.809472565579547
12000,76,4,2015-05-01,13569.75,19492.519720919416,52.25,70.08461733507602,5.25,5.728962992965126
38000,87,9,2015-06-01,19849.0,19998.028871758943,63.25,70.01455131799935,5.75,5.648453420350695
36000,117,8,2015-07-01,27599.0,20503.538022598514,84.0,69.94448530092268,7.0,5.567943847736274
22000,64,5,2015-08-01,27000.0,21009.04717343852,86.0,69.87441928384595,6.5,5.487434275121839
24000,66,5,2015-09-01,30000.0,21514.556324277874,83.5,69.80435326676934,6.75,5.406924702507414
15000,31,2,2015-10-01,24250.0,22020.06547511759,69.5,69.73428724969267,5.0,5.326415129892993
23000,73,6,2015-11-01,21000.0,22525.574625957597,58.5,69.664221232616,4.5,5.2459055572785545
26000,72,5,2015-12-01,22000.0,23031.083776797183,60.5,69.59415521553933,4.5,5.16539598466413
12000,23,3,2016-01-01,19000.0,23536.592927636753,49.75,69.52408919846266,4.0,5.0848864120497055
16000,39,6,2016-02-01,19250.0,24042.102078476804,51.75,69.45402318138599,5.0,5.004376839435281
46000,143,11,2016-03-01,25000.0,24547.611229316317,69.25,69.38395716430932,6.25,6.250436655273532
13000,72,5,2016-04-01,21750.0,24689.10024244353,69.25,69.31389114723277,6.25,7.071470329673086
38000,74,6,2016-05-01,28250.0,24099.720494490815,82.0,69.24382513015587,7.0,6.841572544116058
10952,70,6,2016-06-01,26988.0,23510.340746538655,89.75,69.17375911307931,7.0,6.61167475855901
45841,70,10,2016-07-01,26948.25,22920.96099858597,71.5,68.21329862620246,6.75,6.38177697300199
9928,46,4,2016-08-01,26180.25,22331.581250632822,65.0,66.16860105649448,6.5,6.151879187444926
17000,102,5,2016-09-01,20930.25,21742.201502680633,72.0,64.1239034867865,6.25,5.921981401887905
16000,49,5,2016-10-01,22192.25,21152.821754728007,66.75,62.0792059170783,6.0,5.692083616330855
7000,42,2,2016-11-01,12482.0,20563.442006775324,59.75,60.03450834737009,4.0,5.4621858307738265
17000,61,9,2016-12-01,14250.0,19974.062258823193,63.5,57.98981077766189,5.25,5.232288045216762
46000,67,6,2017-01-01,21500.0,19384.68251087042,54.75,55.94511320795391,5.5,5.002390259659755
4000,17,2,2017-02-01,18500.0,18795.302762917796,46.75,53.900415638245704,4.75,4.772492474102705
3000,19,2,2017-03-01,17500.0,18205.92301496517,41.0,51.8557180685375,4.75,4.54259468854567
16000,74,5,2017-04-01,17250.0,17616.54326701243,44.25,49.811020498829066,3.75,4.31269690298862
13000,43,4,2017-05-01,9000.0,17027.163519060763,38.25,47.76632292912109,3.25,4.082799117431605
33000,58,5,2017-06-01,16250.0,16437.783771107206,48.5,45.72162535941311,4.0,3.8529013318745484
11000,24,4,2017-07-01,18250.0,15848.404023155395,49.75,43.67692778970513,4.5,3.6230035463175057
9000,37,3,2017-08-01,16500.0,15259.02427520277,40.5,41.63223021999693,4.0,3.393105760760477
3000,7,2,2017-09-01,14000.0,14669.644527250057,31.5,39.58753265028872,3.5,3.1632079752034343
2000,9,1,2017-10-01,6250.0,14080.26477929746,19.25,37.54283508058052,2.5,2.933310189646363
22000,20,3,2017-11-01,9000.0,13490.885031344747,18.25,35.49813751087231,2.25,2.7034124040893346
18000,85,2,2017-12-01,11250.0,12901.505283392122,30.25,33.453439941164106,2.0,2.5039353835895497
32000,88,5,2018-01-01,18500.0,12312.125535438507,50.5,31.408742371456356,2.75,2.4599652510562464
9000,23,2,2018-02-01,20250.0,11722.745787487715,54.0,29.36404480174815,3.0,2.415995118522929
8000,6,2,2018-03-01,16750.0,11133.3660395341,50.5,27.31934723203949,2.75,2.3720249859896256
10000,28,3,2018-04-01,14750.0,10543.986291581474,36.25,25.274649662331285,3.0,2.3280548534563223
5000,23,1,2018-05-01,8000.0,9954.606543629692,20.0,23.229952092623535,2.0,2.284084720923005
16000,27,5,2018-06-01,9750.0,9365.226795677067,21.0,21.18525452291533,2.75,2.2401145883896874
12000,5,2,2018-07-01,10750.0,8775.847047723568,20.75,19.140556953207124,2.75,2.1961444558563983
