views,comments,freq,month-year,moving-avg-views,piecewise-views,moving-avg-comments,piecewise-comments,moving-avg-freq,piecewise-freq
5000,41,2,2022-04-01,13615.5,14614.587708141655,134.0,117.35921269157382,5.75,4.538419416161531
13679,147,8,2022-05-01,13585.0,14125.02292437572,126.5,116.05263297675083,6.0,5.288904157365643
12456,111,6,2022-06-01,12199.0,13635.458140610717,101.25,114.74605326192773,6.5,6.827486314315657
14408,116,13,2022-07-01,11385.75,13145.893356845714,103.75,113.43947354710826,7.25,8.366068471265677
22312,176,14,2022-08-01,15713.75,12656.328573081642,137.5,112.13289383228869,10.25,9.904650628215734
21137,238,14,2022-09-01,17578.25,12166.763789314777,160.25,110.82631411746218,11.75,11.443232785165733
6276,62,7,2022-10-01,16033.25,11677.199005549774,148.0,109.51973440263896,12.0,12.377902474254666
4525,65,7,2022-11-01,13562.5,11187.634221785525,135.25,108.21315468781773,10.5,9.823754091568613
547,6,1,2022-12-01,8121.25,10698.06943802029,92.75,106.90657497299608,7.25,7.269605708882516
2884,73,3,2023-01-01,3558.0,10208.504654255054,51.5,105.59999525817443,4.5,4.715457326196447
